"","text","favorited","favoriteCount","created","truncated","id","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SEPTA_SOCIAL there needs to be better enforcement of smoking restrictions on the subway. I just had to switch cars… https://t.co/0YorhxBGwE",FALSE,0,2022-11-30 03:38:12,TRUE,"1597797113605275653","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MelissaMazur9",0,FALSE,FALSE,NA,NA
"2","@ofclblkgngr @SEPTA_SOCIAL @PGHtransit Welcome to Pittsburgh! I, myself have traded in my @SEPTAPhilly 77 for the… https://t.co/cwmtEaJOn2",FALSE,0,2022-11-30 03:33:25,TRUE,"1597795909932580867","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BrandTran",0,FALSE,FALSE,NA,NA
"3","@SEPTA @SEPTA_SOCIAL I saw that trolley 9030 is a jolly trolley this year. Are there any others? Thank you in advance!",FALSE,0,2022-11-30 03:11:39,FALSE,"1597790432884580352","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","phlsharp",0,FALSE,FALSE,NA,NA
"4","MFL: From 10 p.m. until the end of service, passengers must board trains on the westbound platforms at Erie-Torresd… https://t.co/vznSEblBbI",FALSE,1,2022-11-30 03:00:02,TRUE,"1597787510171750400","<a href=""http://www.septa.org"" rel=""nofollow"">SEPTA alert main</a>","SEPTA",1,FALSE,FALSE,NA,NA
"5","MFL: From 10 p.m. until the end of service, passengers must board trains on the westbound platforms at Erie-Torresd… https://t.co/4KHZFqYym4",FALSE,0,2022-11-30 03:00:02,TRUE,"1597787509240610818","<a href=""http://www.septa.org"" rel=""nofollow"">CCAM_MFL</a>","SEPTA_MFL",0,FALSE,FALSE,NA,NA
"6","@SEPTA_SOCIAL can we get a police presencs at 15th st L kids having party drinking on platform redicuals",FALSE,0,2022-11-30 02:36:50,FALSE,"1597781670144663552","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","islanders2013s1",0,FALSE,FALSE,NA,NA
"7","derek got me the full septa fit for my birthday 😭❤️ i love transit! https://t.co/SNOfULpvHj",FALSE,6,2022-11-30 02:27:10,FALSE,"1597779238463369216","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brittany_says",0,FALSE,FALSE,NA,NA
"8","@septa_lemore I have SUCH strong memories of coming home from college for winter break and immediately going to see… https://t.co/zJY9rdMdIz",FALSE,0,2022-11-30 02:24:12,TRUE,"1597778492045037568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nerdsbeware",0,FALSE,FALSE,NA,NA
"9","RT @dmtrubman: One question for the Philly City Councilmembers coming out against SEPTA modifying some routes as part of the Bus Network Re…",FALSE,0,2022-11-30 02:17:17,FALSE,"1597776751911849985","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trashavocado",1,TRUE,FALSE,NA,NA
"10","Joe Biden Calls on Congress to Intervene and Block Potential Railroad Strike - NBC 10 Philadelphia:… https://t.co/grPUsyt7tQ",FALSE,0,2022-11-30 02:10:31,TRUE,"1597775047179075584","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MyTransitPhilly",0,FALSE,FALSE,NA,NA
